gender,count,char,position,pinyin
m,90,亿,1,yi
m,90,锴,1,kai
m,89,港,1,gang
m,89,汇,1,hui
m,89,觉,1,jue
m,88,柳,1,liu
m,88,许,1,xu
m,87,众,1,zhong
m,87,聚,1,ju
m,86,社,1,she
m,86,马,1,ma
m,85,地,1,di
m,85,澍,1,shu
m,84,勉,1,mian
m,84,列,1,lie
m,84,计,1,ji
m,84,朋,1,peng
m,83,节,1,jie
m,83,坦,1,tan
m,83,用,1,yong
m,82,烽,1,feng
m,82,后,1,hou
m,81,历,1,li
m,81,雍,1,yong
m,81,罗,1,luo
m,81,夏,1,xia
m,80,郑,1,zheng
m,80,唐,1,tang
m,80,奔,1,ben
m,79,淮,1,huai
m,79,庚,1,geng
m,78,鲲,1,kun
m,78,农,1,nong
m,78,冰,1,bing
m,78,璋,1,zhang
m,77,桓,1,huan
m,77,闻,1,wen
m,76,锁,1,suo
m,76,阔,1,kuo
m,76,轶,1,yi
m,76,统,1,tong
m,75,蛟,1,jiao
m,75,团,1,tuan
m,75,初,1,chu
m,75,渭,1,wei
m,74,蓬,1,peng
m,74,协,1,xie
m,74,熊,1,xiong
m,74,潜,1,qian
m,74,范,1,fan
m,74,幸,1,xing
m,74,竞,1,jing
m,74,奉,1,feng
m,73,体,1,ti
m,73,懋,1,mao
m,73,奋,1,fen
m,72,录,1,lu
m,72,恭,1,gong
m,72,淦,1,gan
m,72,梅,1,mei
m,71,陆,1,lu
m,70,锟,1,kun
m,70,羽,1,yu
m,70,霄,1,xiao
m,70,记,1,ji
m,70,赵,1,zhao
m,69,逊,1,xun
m,69,准,1,zhun
m,69,序,1,xu
m,69,嗣,1,si
m,68,狄,1,di
m,68,浚,1,jun
m,68,直,1,zhi
m,68,岸,1,an
m,68,耕,1,geng
m,67,醒,1,xing
m,66,流,1,liu
m,66,舰,1,jian
m,66,式,1,shi
m,66,象,1,xiang
m,65,颢,1,hao
m,64,佰,1,bai
m,64,津,1,jin
m,64,律,1,lv
m,63,寒,1,han
m,63,荫,1,yin
m,63,意,1,yi
m,63,泳,1,yong
m,63,集,1,ji
m,63,求,1,qiu
m,63,结,1,jie
m,62,曜,1,yao
m,62,祝,1,zhu
m,62,澎,1,peng
m,62,杭,1,hang
m,61,将,1,jiang
m,61,练,1,lian
m,61,容,1,rong
m,61,峥,1,zheng
m,60,琪,1,qi
m,60,丞,1,cheng
m,60,炬,1,ju
m,60,廉,1,lian
m,60,术,1,shu
m,59,浦,1,pu
m,59,侯,1,hou
m,59,乔,1,qiao
m,59,咸,1,xian
m,58,丛,1,cong
m,58,铸,1,zhu
m,57,珍,1,zhen
m,57,紫,1,zi
m,57,愿,1,yuan
m,56,辅,1,fu
m,56,恕,1,shu
m,56,桥,1,qiao
m,56,载,1,zai
m,55,迈,1,mai
m,55,仰,1,yang
m,55,曦,1,xi
m,54,郁,1,yu
m,54,韧,1,ren
m,54,图,1,tu
m,54,又,1,you
m,54,谋,1,mou
m,54,孙,1,sun
m,54,琦,1,qi
m,54,芝,1,zhi
m,53,赤,1,chi
m,53,适,1,shi
m,53,崎,1,qi
m,53,解,1,jie
m,53,老,1,lao
m,53,遂,1,sui
m,52,煊,1,xuan
m,52,养,1,yang
m,51,葛,1,ge
m,51,郎,1,lang
m,51,笃,1,du
m,51,贯,1,guan
m,50,无,1,wu
m,50,笑,1,xiao
m,50,炽,1,chi
m,50,淼,1,miao
m,49,顶,1,ding
m,49,槐,1,huai
m,49,环,1,huan
m,48,尉,1,wei
m,48,号,1,hao
m,48,院,1,yuan
m,47,参,1,can
m,47,燮,1,xie
m,47,伏,1,fu
m,46,岐,1,qi
m,46,冶,1,ye
m,46,度,1,du
m,46,班,1,ban
m,46,量,1,liang
m,46,钱,1,qian
m,46,逵,1,kui
m,46,由,1,you
m,46,豫,1,yu
m,45,斗,1,dou
m,45,续,1,xu
m,45,六,1,liu
m,45,主,1,zhu
m,45,柯,1,ke
m,45,昕,1,xin
m,45,援,1,yuan
m,44,沅,1,yuan
m,44,乘,1,cheng
m,44,因,1,yin
m,44,省,1,sheng
m,44,丽,1,li
m,43,宙,1,zhou
m,43,墩,1,dun
m,43,庸,1,yong
m,42,霖,1,lin
m,42,遵,1,zun
m,42,朱,1,zhu
m,42,匡,1,kuang
m,42,砚,1,yan
m,41,擎,1,qing
m,41,涤,1,di
m,41,充,1,chong
m,41,菊,1,ju
m,41,让,1,rang
m,41,桐,1,tong
m,41,香,1,xiang
m,40,备,1,bei
m,40,渠,1,qu
m,40,首,1,shou
m,40,蔚,1,wei
m,40,祯,1,zhen
m,39,邵,1,shao
m,39,质,1,zhi
m,39,汪,1,wang
m,38,泊,1,po
m,38,遇,1,yu
m,38,左,1,zuo
m,38,椿,1,chun
m,38,险,1,xian
m,38,予,1,yu
m,38,渝,1,yu
m,37,渡,1,du
m,37,棚,1,peng
m,37,布,1,bu
m,37,弼,1,bi
m,37,位,1,wei
m,37,午,1,wu
m,37,懿,1,yi
m,36,慕,1,mu
m,36,夫,1,fu
m,36,商,1,shang
m,36,坊,1,fang
m,36,招,1,zhao
m,36,洛,1,luo
m,36,岷,1,min
m,36,樟,1,zhang
m,36,秦,1,qin
m,35,欢,1,huan
m,35,羿,1,yi
m,35,佶,1,ji
m,35,模,1,mo
m,35,仓,1,cang
m,35,谷,1,gu
m,35,寰,1,huan
m,35,铿,1,keng
m,35,铨,1,quan
m,35,栓,1,shuan
m,35,今,1,jin
m,34,叙,1,xu
m,34,封,1,feng
m,34,近,1,jin
m,34,笠,1,li
m,34,演,1,yan
m,34,严,1,yan
m,33,祚,1,zuo
m,33,专,1,zhuan
m,33,灼,1,zhuo
m,33,绵,1,mian
m,33,牧,1,mu
m,33,执,1,zhi
m,32,仑,1,lun
m,32,固,1,gu
m,32,略,1,lve
m,32,休,1,xiu
m,32,垂,1,chui
m,32,淞,1,song
m,32,捷,1,jie
m,32,韦,1,wei
m,32,誉,1,yu
m,31,边,1,bian
m,31,舸,1,ge
m,31,慈,1,ci
m,31,教,1,jiao
m,31,界,1,jie
m,31,竣,1,jun
m,31,派,1,pai
m,31,白,1,bai
m,31,溥,1,pu
m,31,颜,1,yan
m,30,依,1,yi
m,30,琅,1,lang
m,30,羲,1,xi
m,30,临,1,lin
m,30,循,1,xun
m,30,党,1,dang
m,30,溪,1,xi
m,30,祁,1,qi
